Date,Symbol,Order,Shares
2010-01-04,IBM,SELL,100
2010-01-28,IBM,BUY,100
2010-02-01,IBM,SELL,100
2010-02-11,IBM,BUY,100
2010-02-12,IBM,SELL,100
2010-02-22,IBM,BUY,100
2010-02-23,IBM,SELL,100
2010-03-01,IBM,BUY,100
2010-03-02,IBM,SELL,100
2010-03-17,IBM,BUY,100
2010-03-18,IBM,SELL,100
2010-03-19,IBM,BUY,100
2010-03-22,IBM,SELL,100
2010-03-23,IBM,BUY,100
2010-03-24,IBM,SELL,100
2010-04-05,IBM,BUY,100
2010-04-06,IBM,SELL,100
2010-04-15,IBM,BUY,100
2010-04-16,IBM,SELL,100
2010-04-23,IBM,BUY,100
2010-04-26,IBM,SELL,100
2010-04-27,IBM,BUY,100
2010-04-28,IBM,SELL,100
2010-05-18,IBM,BUY,100
2010-05-20,IBM,SELL,100
2010-05-26,IBM,BUY,100
2010-05-27,IBM,SELL,100
2010-06-02,IBM,BUY,100
2010-06-03,IBM,SELL,100
2010-06-08,IBM,BUY,100
2010-06-11,IBM,SELL,100
2010-06-14,IBM,BUY,100
2010-06-15,IBM,SELL,100
2010-06-30,IBM,BUY,100
2010-07-01,IBM,SELL,100
2010-07-29,IBM,BUY,100
2010-07-30,IBM,SELL,100
2010-08-03,IBM,BUY,100
2010-08-04,IBM,SELL,100
2010-08-10,IBM,BUY,100
2010-08-11,IBM,SELL,100
2010-08-13,IBM,BUY,100
2010-08-16,IBM,SELL,100
2010-08-30,IBM,BUY,100
2010-09-01,IBM,SELL,100
2010-09-09,IBM,BUY,100
2010-09-10,IBM,SELL,100
2010-09-16,IBM,BUY,100
2010-09-17,IBM,SELL,100
2010-10-04,IBM,BUY,100
2010-10-05,IBM,SELL,100
2010-10-26,IBM,BUY,100
2010-10-27,IBM,SELL,100
2010-11-16,IBM,BUY,100
2010-11-17,IBM,SELL,100
2010-12-01,IBM,BUY,100
2010-12-03,IBM,SELL,100
2010-12-08,IBM,BUY,100
2010-12-09,IBM,SELL,100
2010-12-10,IBM,BUY,100
2010-12-13,IBM,SELL,100
2010-12-17,IBM,BUY,100
2010-12-20,IBM,SELL,100
2010-12-28,IBM,BUY,100
2010-12-29,IBM,SELL,100
